experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
v2_baseline,7500,shoulder_pan,-0.966823758135785,0.8663931641498636,4.58,0.0,20,4,4.616692122627906
v2_baseline,7500,shoulder_lift,5.1273517063685885,3.0132877030260365,5.16,0.45,20,4,4.616692122627906
v2_baseline,7500,elbow_flex,-7.08021777645572,2.303187076858453,5.73,0.75,20,4,4.616692122627906
v2_baseline,7500,wrist_flex,0.6643664663964571,0.9319978307885665,4.01,0.0,20,4,4.616692122627906
v2_baseline,7500,wrist_roll,0.42446896872677603,0.15732250029480144,1.15,0.0,20,4,4.616692122627906
v2_baseline,7500,gripper,0.6804021467744604,0.5650696262976422,9.17,0.0,20,4,4.616692122627906
combined65_baseline,2500,shoulder_pan,-4.864486063967695,2.2121389882928235,4.58,0.5,20,5,13.169631325915748
combined65_baseline,2500,shoulder_lift,-0.021445138113833195,7.781484962129642,5.16,0.55,20,5,13.169631325915748
combined65_baseline,2500,elbow_flex,1.6277961395599079,6.809303349701416,5.73,0.3,20,5,13.169631325915748
combined65_baseline,2500,wrist_flex,-2.0274729424780547,3.0313615981524165,4.01,0.25,20,5,13.169631325915748
combined65_baseline,2500,wrist_roll,0.4140732511059264,0.3294857563564884,1.15,0.05,20,5,13.169631325915748
combined65_baseline,2500,gripper,1.562281047302415,1.4020639723569266,9.17,0.0,20,5,13.169631325915748
combined65_baseline,5000,shoulder_pan,-2.5954894437894716,1.511605018008957,4.58,0.15,20,4,6.828855238347889
combined65_baseline,5000,shoulder_lift,5.263076727730893,4.128525858688536,5.16,0.45,20,4,6.828855238347889
combined65_baseline,5000,elbow_flex,-8.20830729977115,3.347225991067444,5.73,0.75,20,4,6.828855238347889
combined65_baseline,5000,wrist_flex,0.5189090079003634,1.5938879463896996,4.01,0.0,20,4,6.828855238347889
combined65_baseline,5000,wrist_roll,0.4266234859005431,0.22048314473108033,1.15,0.0,20,4,6.828855238347889
combined65_baseline,5000,gripper,0.3431612124025122,0.8522417607040715,9.17,0.0,20,4,6.828855238347889
combined65_baseline,7500,shoulder_pan,-0.2112710847959411,0.842475690996113,4.58,0.0,20,3,4.78002046581492
combined65_baseline,7500,shoulder_lift,4.512215750558042,3.024942198164449,5.16,0.35,20,3,4.78002046581492
combined65_baseline,7500,elbow_flex,-7.664412341275056,2.298314083597415,5.73,0.85,20,3,4.78002046581492
combined65_baseline,7500,wrist_flex,-0.704607456333035,1.0517631502119502,4.01,0.0,20,3,4.78002046581492
combined65_baseline,7500,wrist_roll,0.2318732007519225,0.14553147166548147,1.15,0.0,20,3,4.78002046581492
combined65_baseline,7500,gripper,0.2792016138612524,0.5908227281259589,9.17,0.0,20,3,4.78002046581492
combined65_baseline,10000,shoulder_pan,-0.4958320512876405,0.7645860803747021,4.58,0.0,20,5,4.1536061685141785
combined65_baseline,10000,shoulder_lift,3.830196326119565,2.7716309834165385,5.16,0.25,20,5,4.1536061685141785
combined65_baseline,10000,elbow_flex,-6.876480899014311,2.121249388030696,5.73,0.75,20,5,4.1536061685141785
combined65_baseline,10000,wrist_flex,-0.7285666161841092,1.0559216412149446,4.01,0.0,20,5,4.1536061685141785
combined65_baseline,10000,wrist_roll,0.21378817401089467,0.13142791763559808,1.15,0.0,20,5,4.1536061685141785
combined65_baseline,10000,gripper,-0.18843830923445057,0.5384754504579705,9.17,0.0,20,5,4.1536061685141785
combined65_early_weight_v1,2500,shoulder_pan,-3.9136761083707703,2.4836210651892383,4.58,0.4,20,4,13.303561266016683
combined65_early_weight_v1,2500,shoulder_lift,-1.4578354426792628,7.817404998466387,5.16,0.6,20,4,13.303561266016683
combined65_early_weight_v1,2500,elbow_flex,1.1028575561858844,7.104389327731175,5.73,0.35,20,4,13.303561266016683
combined65_early_weight_v1,2500,wrist_flex,-2.844317119724148,3.104129740819868,4.01,0.3,20,4,13.303561266016683
combined65_early_weight_v1,2500,wrist_roll,0.3776357158199767,0.3100229663836993,1.15,0.0,20,4,13.303561266016683
combined65_early_weight_v1,2500,gripper,0.8450311293184057,1.3487207553795943,9.17,0.0,20,4,13.303561266016683
combined65_early_weight_v1,5000,shoulder_pan,-2.7589921846494567,1.5768175551148809,4.58,0.15,20,4,6.836334904927365
combined65_early_weight_v1,5000,shoulder_lift,5.222235052926206,3.9771964935027246,5.16,0.5,20,4,6.836334904927365
combined65_early_weight_v1,5000,elbow_flex,-8.098633227505525,3.6319154371331814,5.73,0.75,20,4,6.836334904927365
combined65_early_weight_v1,5000,wrist_flex,0.05946686922848841,1.4759255017851198,4.01,0.0,20,4,6.836334904927365
combined65_early_weight_v1,5000,wrist_roll,0.46309091887631215,0.20937754447783746,1.15,0.0,20,4,6.836334904927365
combined65_early_weight_v1,5000,gripper,0.2950421919404761,0.8217513373543354,9.17,0.0,20,4,6.836334904927365
combined65_early_weight_v1,7500,shoulder_pan,-0.19406756306742548,0.9394342018750828,4.58,0.0,20,5,4.403173070713121
