experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg,nearest_demo_episode,nearest_demo_frame
A_combined65_uniform,2500,step0,6.831961631774902,8.940553665161133,7.886257648468018,33,25
A_combined65_uniform,2500,step1_2,6.644334316253662,9.51619815826416,8.080266237258911,33,25
A_combined65_uniform,2500,step3_plus,15.747241973876953,19.37606430053711,17.56165313720703,33,25
A_combined65_uniform,5000,step0,3.311771869659424,2.9412639141082764,3.12651789188385,33,25
A_combined65_uniform,5000,step1_2,2.8241524696350098,2.906879186630249,2.8655158281326294,33,25
A_combined65_uniform,5000,step3_plus,5.125509738922119,5.135533809661865,5.130521774291992,33,25
A_combined65_uniform,7500,step0,2.3176321983337402,2.0484111309051514,2.183021664619446,33,25
A_combined65_uniform,7500,step1_2,1.960679292678833,2.0158846378326416,1.9882819652557373,33,25
A_combined65_uniform,7500,step3_plus,10.015387535095215,12.411230087280273,11.213308811187744,33,25
A_combined65_uniform,10000,step0,2.029447555541992,1.5829658508300781,1.8062067031860352,33,25
A_combined65_uniform,10000,step1_2,1.8413358926773071,1.7828859090805054,1.8121109008789062,33,25
A_combined65_uniform,10000,step3_plus,5.897100448608398,7.753961086273193,6.825530767440796,33,25
B_reweight2_1,2500,step0,5.747125625610352,4.692461013793945,5.219793319702148,33,25
B_reweight2_1,2500,step1_2,5.432015895843506,4.090503215789795,4.76125955581665,33,25
B_reweight2_1,2500,step3_plus,10.534412384033203,8.590100288391113,9.562256336212158,33,25
B_reweight2_1,5000,step0,3.114907741546631,2.4552600383758545,2.7850838899612427,33,25
B_reweight2_1,5000,step1_2,2.3073887825012207,2.6547091007232666,2.4810489416122437,33,25
B_reweight2_1,5000,step3_plus,4.848324298858643,4.002434253692627,4.425379276275635,33,25
B_reweight2_1,7500,step0,1.9042327404022217,1.3776485919952393,1.6409406661987305,33,25
B_reweight2_1,7500,step1_2,1.9037721157073975,1.7424319982528687,1.823102056980133,33,25
B_reweight2_1,7500,step3_plus,7.138888835906982,9.36839485168457,8.253641843795776,33,25
B_reweight2_1,10000,step0,1.8018707036972046,1.4313857555389404,1.6166282296180725,33,25
B_reweight2_1,10000,step1_2,1.9326045513153076,1.7863038778305054,1.8594542145729065,33,25
B_reweight2_1,10000,step3_plus,6.435625076293945,8.433661460876465,7.434643268585205,33,25
C_reweight3_1,2500,step0,5.42285680770874,4.856895923614502,5.139876365661621,33,25
C_reweight3_1,2500,step1_2,3.3765506744384766,4.1476335525512695,3.762092113494873,33,25
C_reweight3_1,2500,step3_plus,9.062246322631836,12.232916831970215,10.647581577301025,33,25
C_reweight3_1,5000,step0,4.550463676452637,3.5806686878204346,4.065566182136536,33,25
C_reweight3_1,5000,step1_2,4.18686580657959,3.166675090789795,3.6767704486846924,33,25
C_reweight3_1,5000,step3_plus,6.208507061004639,8.62233829498291,7.415422677993774,33,25
C_reweight3_1,7500,step0,1.9707801342010498,2.071528196334839,2.0211541652679443,33,25
C_reweight3_1,7500,step1_2,1.7713953256607056,1.9101006984710693,1.8407480120658875,33,25
C_reweight3_1,7500,step3_plus,6.409492492675781,8.34467887878418,7.3770856857299805,33,25
C_reweight3_1,10000,step0,1.9484103918075562,1.466183066368103,1.7072967290878296,33,25
C_reweight3_1,10000,step1_2,2.0355563163757324,1.6558310985565186,1.8456937074661255,33,25
C_reweight3_1,10000,step3_plus,5.414766788482666,6.809894561767578,6.112330675125122,33,25
D_v4_fresh,2500,step0,4.821356773376465,5.0921430587768555,4.95674991607666,28,34
D_v4_fresh,2500,step1_2,3.352534532546997,4.397589206695557,3.875061869621277,28,34
D_v4_fresh,2500,step3_plus,4.523947715759277,5.1529340744018555,4.838440895080566,28,34
D_v4_fresh,5000,step0,3.976435422897339,2.3159451484680176,3.1461902856826782,28,34
D_v4_fresh,5000,step1_2,2.830547332763672,2.3383851051330566,2.5844662189483643,28,34
D_v4_fresh,5000,step3_plus,3.188326120376587,3.984833002090454,3.5865795612335205,28,34
D_v4_fresh,7500,step0,2.3750274181365967,1.896969199180603,2.1359983086586,28,34
D_v4_fresh,7500,step1_2,1.903705358505249,1.9612098932266235,1.9324576258659363,28,34
D_v4_fresh,7500,step3_plus,5.324300289154053,6.829837799072266,6.077069044113159,28,34
D_v4_fresh,10000,step0,2.3607349395751953,1.8415511846542358,2.1011430621147156,28,34
D_v4_fresh,10000,step1_2,1.9540042877197266,1.9073385000228882,1.9306713938713074,28,34
D_v4_fresh,10000,step3_plus,5.870582580566406,6.65869140625,6.264636993408203,28,34
E_reweight2_1_early_action,2500,step0,4.162256717681885,6.002690315246582,5.082473516464233,33,25
E_reweight2_1_early_action,2500,step1_2,3.5769011974334717,5.279655456542969,4.42827832698822,33,25
